2026-05-08 21:50:37 | ERROR | trading_bot | validation_error Missing API credentials. Set BINANCE_API_KEY and BINANCE_API_SECRET.
2026-05-08 21:51:00 | ERROR | trading_bot | validation_error Price is required for LIMIT orders.
2026-05-08 22:16:24 | ERROR | trading_bot | validation_error Missing API credentials. Set BINANCE_API_KEY and BINANCE_API_SECRET.
2026-05-08 22:22:41 | INFO | trading_bot | api_request method=POST path=/fapi/v1/order params={"symbol": "BTCUSDT", "side": "BUY", "type": "MARKET", "quantity": "0.001", "timestamp": 1778259161308, "recvWindow": 5000, "signature": "***"}
2026-05-08 22:22:41 | INFO | trading_bot | api_response status=200 body={"orderId":13121203967,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"NF1r5r5QYmkWYV4NgLtaxE","price":"0.00","avgPrice":"0.00","origQty":"0.0010","executedQty":"0.0000","cumQty":"0.0000","cumQuote":"0.000000","timeInForce":"GTC","type":"MARKET","reduceOnly":false,"closePosition":false,"side":"BUY","positionSide":"BOTH","stopPrice":"0.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"MARKET","priceMatch":"NONE","selfTradePreventionMode":"EXPIRE_MAKER","goodTillDate":0,"updateTime":1778259161749}
2026-05-08 22:23:38 | INFO | trading_bot | api_request method=POST path=/fapi/v1/order params={"symbol": "BTCUSDT", "side": "BUY", "type": "MARKET", "quantity": "0.001", "timestamp": 1778259218800, "recvWindow": 5000, "signature": "***"}
2026-05-08 22:23:39 | INFO | trading_bot | api_response status=200 body={"orderId":13121206286,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"C55xDOaym2OVB5db8GXXTp","price":"0.00","avgPrice":"0.00","origQty":"0.0010","executedQty":"0.0000","cumQty":"0.0000","cumQuote":"0.000000","timeInForce":"GTC","type":"MARKET","reduceOnly":false,"closePosition":false,"side":"BUY","positionSide":"BOTH","stopPrice":"0.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"MARKET","priceMatch":"NONE","selfTradePreventionMode":"EXPIRE_MAKER","goodTillDate":0,"updateTime":1778259219241}
2026-05-08 23:16:35 | ERROR | trading_bot | validation_error Invalid symbol. Example: BTCUSDT
2026-05-09 00:01:39 | ERROR | trading_bot | validation_error Invalid symbol. Example: BTCUSDT
2026-05-09 00:37:20 | ERROR | trading_bot | validation_error Missing API credentials. Set BINANCE_API_KEY and BINANCE_API_SECRET.
2026-05-09 00:39:39 | INFO | trading_bot | api_request method=POST path=/fapi/v1/order params={"symbol": "BTCUSDT", "side": "BUY", "type": "MARKET", "quantity": "0.02", "timestamp": 1778267379307, "recvWindow": 5000, "signature": "***"}
2026-05-09 00:39:39 | INFO | trading_bot | api_response status=200 body={"orderId":13121510381,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"ftvALXep0inXczGbAyy9p7","price":"0.00","avgPrice":"0.00","origQty":"0.0200","executedQty":"0.0000","cumQty":"0.0000","cumQuote":"0.000000","timeInForce":"GTC","type":"MARKET","reduceOnly":false,"closePosition":false,"side":"BUY","positionSide":"BOTH","stopPrice":"0.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"MARKET","priceMatch":"NONE","selfTradePreventionMode":"EXPIRE_MAKER","goodTillDate":0,"updateTime":1778267379937}
2026-05-09 00:46:52 | INFO | trading_bot | api_request method=POST path=/fapi/v1/order params={"symbol": "BTCUSDT", "side": "BUY", "type": "MARKET", "quantity": "1.4", "timestamp": 1778267812950, "recvWindow": 5000, "signature": "***"}
2026-05-09 00:46:53 | INFO | trading_bot | api_response status=400 body={"code":-2019,"msg":"Margin is insufficient."}
2026-05-09 00:46:53 | ERROR | trading_bot | api_error status=400 code=-2019 message=Margin is insufficient.
2026-05-09 00:46:53 | ERROR | trading_bot | api_error Margin is insufficient.
